CID,NAME,CYCLE,STATE,PARTY,CHAMBER,SOURCE
N00000010,"Burton, Dan",2022,,R,,https://www.opensecrets.org/members-of-congress/summary
N00000010,"Burton, Dan",2020,,R,,https://www.opensecrets.org/members-of-congress/summary
N00000010,"Burton, Dan",2018,,R,,https://www.opensecrets.org/members-of-congress/summary
N00000010,"Burton, Dan",2016,,R,,https://www.opensecrets.org/members-of-congress/summary
N00000010,"Burton, Dan",2014,,R,,https://www.opensecrets.org/members-of-congress/summary
N00000010,"Burton, Dan",2012,IN,R,H,https://www.opensecrets.org/members-of-congress/summary
N00000019,"Clinton, Hillary",2022,,D,,https://www.opensecrets.org/members-of-congress/summary
N00000019,"Clinton, Hillary",2020,,D,,https://www.opensecrets.org/members-of-congress/summary
N00000019,"Clinton, Hillary",2018,,D,,https://www.opensecrets.org/members-of-congress/summary
N00000019,"Clinton, Hillary",2016,NY,D,Pres,https://www.opensecrets.org/members-of-congress/summary
N00000019,"Clinton, Hillary",2014,,D,,https://www.opensecrets.org/members-of-congress/summary
N00000019,"Clinton, Hillary",2012,,D,,https://www.opensecrets.org/members-of-congress/summary
N00000078,"Maloney, Carolyn",2022,NY,D,H,https://www.opensecrets.org/members-of-congress/summary
N00000078,"Maloney, Carolyn",2020,NY,D,H,https://www.opensecrets.org/members-of-congress/summary
N00000078,"Maloney, Carolyn",2018,NY,D,H,https://www.opensecrets.org/members-of-congress/summary
N00000078,"Maloney, Carolyn",2016,NY,D,H,https://www.opensecrets.org/members-of-congress/summary
N00000078,"Maloney, Carolyn",2014,NY,D,H,https://www.opensecrets.org/members-of-congress/summary
N00000078,"Maloney, Carolyn",2012,NY,D,H,https://www.opensecrets.org/members-of-congress/summary
